match_id,sport,country,league,league_id,start_time,team,opposition,home,draw,away,status,ft1,ft2,ou,avg_over,avg_under,hdp,avg_home,avg_away,pin_over,pin_under,pin_home,pin_away,rf_pre_h,rf_pre_a,capres,ttl,hdp_h_rtn,hdp_a_rtn,expected_line,expected_ou,hdp_derived_h_rtn,hdp_derived_a_rtn,intl,blind_market_h_hdp,blind_market_a_hdp,blind_market_over,blind_market_under,blind_derived_h_hdp,blind_derived_a_hdp,blind_derived_over,blind_derived_under
C0ZvRNPI,rugby-union,world,guinness-pro14,59712,2020-10-23 18:35:00,Leinster,Zebre,1.01,52.78,22.92,ft,63,8,56,1.9,1.88,-35.5,1.88,1.86,1.96,1.88,1.98,1.88,1030.22337795016,978.801715961181,-55,71,0.88,-1,-33,46.5,0.89,-1,1,0.88,-1,0.9,-1,0.89,-1,0.89,-1
OzwqQsuP,rugby-union,world,guinness-pro14,59712,2020-10-23 19:15:00,Benetton,Scarlets,1.75,19.43,2.11,ft,3,10,41.5,1.88,1.85,-2,1.86,1.9,2.01,1.85,1.89,1.96,977.338724796276,981.284330360266,7,13,-1,0.9,-8.5,58,-1,0.89,1,-1,0.9,-1,0.85,-1,0.89,-1,0.89
S83PYZrP,rugby-union,world,guinness-pro14,59712,2020-10-24 16:30:00,Ospreys,Glasgow Warriors,2.37,18.81,1.62,ft,23,15,35.5,1.92,1.86,3,1.89,1.87,1.92,1.93,1.95,1.9,1001.36313242495,1005.65349181324,-8,38,0.89,-1,-2.5,33,0.89,-1,1,0.89,-1,0.92,-1,0.89,-1,0.89,-1
UHkiUgit,rugby-union,world,guinness-pro14,59712,2020-10-25 15:00:00,Ulster,Dragons,1.1,31.89,6.94,ft,40,17,49.5,1.86,1.88,-16,1.88,1.91,1.91,1.94,1.88,1.98,1023.80049605302,990.960022715549,-23,57,0.88,-1,-32,54,-1,0.89,1,0.88,-1,0.86,-1,-1,0.89,0.89,-1
bifeTD6n,rugby-union,world,guinness-pro14,59712,2020-10-25 19:35:00,Edinburgh,Connacht,1.43,20.11,2.87,ft,26,37,42.5,1.88,1.87,-5.5,1.86,1.87,1.92,1.93,1.91,1.94,981.773996684251,990.775750506256,11,63,-1,0.87,-5.5,40,-1,0.89,1,-1,0.87,0.88,-1,-1,0.89,0.89,-1
xrgaSXLh,rugby-union,world,guinness-pro14,59712,2020-10-26 20:15:00,Munster,Cardiff Blues,1.22,27,4.36,ft,38,27,44,1.89,1.87,-10,1.87,1.92,1.95,1.9,1.93,1.92,1010.73273943051,1027.29222130433,-11,65,0.87,-1,12.5,30.5,0.89,-1,1,0.87,-1,0.89,-1,0.89,-1,0.89,-1
K6r4Riya,rugby-union,world,guinness-pro14,59712,2020-11-01 14:00:00,Dragons,Munster,4.91,25.44,1.17,ft,16,28,38.5,1.89,1.85,11.5,1.87,1.87,2.03,1.83,1.78,2.11,975.756503951575,1022.89377786442,12,44,-1,0.87,17,58,0.89,-1,1,-1,0.87,0.89,-1,0.89,-1,-1,0.89
SWoCPV5B,rugby-union,world,guinness-pro14,59712,2020-11-01 18:45:00,Scarlets,Edinburgh,1.7,19.25,2.18,ft,3,6,33.5,1.85,1.89,-1.5,1.92,1.85,1.91,1.94,2.05,1.82,990.439303199846,970.466502202306,3,9,-1,0.85,-7.5,36,-1,0.89,1,-1,0.85,-1,0.89,-1,0.89,-1,0.89
6NpGOkLH,rugby-union,world,guinness-pro14,59712,2020-11-02 18:00:00,Cardiff Blues,Ulster,2.32,21,1.61,ft,7,11,46,1.9,1.88,3,1.85,1.91,2.01,1.85,1.88,1.98,1015.13118287043,1039.00401481699,4,18,-1,0.91,1.5,46,-1,0.89,1,-1,0.91,-1,0.88,-1,0.89,-1,0.89
WIux7Nkp,rugby-union,world,guinness-pro14,59712,2020-11-02 19:15:00,Zebre,Ospreys,2.83,20.63,1.42,ft,23,17,38,1.87,1.87,6,1.89,1.89,1.91,1.94,1.95,1.9,956.658897082772,1011.38486767332,-6,40,0.89,-1,20.5,39,0.89,-1,1,0.89,-1,0.87,-1,0.89,-1,0.89,-1
A9vt6s5j,rugby-union,world,guinness-pro14,59712,2020-11-02 20:15:00,Glasgow Warriors,Leinster,2.61,20.38,1.49,ft,19,32,43.5,1.87,1.88,4.5,1.89,1.87,1.91,1.94,1.85,2.01,995.631756564881,1052.36619682857,13,51,-1,0.87,24.5,50,0.89,-1,1,-1,0.87,0.87,-1,0.89,-1,0.89,-1
KvMWS4C3,rugby-union,world,guinness-pro14,59712,2020-11-08 15:00:00,Ospreys,Leinster,8.33,35.88,1.07,ft,7,26,50,1.9,1.88,19,1.89,1.87,2.01,1.85,1.95,1.9,1001.47230995934,1062.94306287752,19,33,0,0,19,47,0,0,1,0,0,-1,0.88,0,0,-1,0.89
bVKzSOR9,rugby-union,world,guinness-pro14,59712,2020-11-08 17:15:00,Scarlets,Zebre,1.02,46,13.71,ft,18,17,52.5,1.87,1.89,-25.5,1.88,1.88,1.87,1.98,1.9,1.95,984.029016339568,966.571454796752,-1,35,-1,0.88,-9.5,27,-1,0.89,1,-1,0.88,-1,0.89,-1,0.89,0.89,-1
